entity,label,definition,variables,parent_label,parent_IRI
http://purl.obolibrary.org/obo/EUPATH_0010578,Escherichia coli testing completed,"Whether testing for Escherichia coli was complete. If E. coli was not detected by bacteriology culture, PCR was not required to be performed and E. coli testing was considered complete. Whenever a participant produced at least 3 loose stools in a single day, diarrheal stool samples were collected before the end of the episode. Work up for detection of enteric pathogens was performed on the first stool sample collected during each diarrheal episode until 24 months of age (with a possible extension to 36 months of age) and on first monthly asymptomatic stool samples collected at 1-12, 15, 18, 21, and 24 months of age (with the option to test additional monthly stool samples to 36 months of age).",micro x::ecptesting; ecptesting,Escherichia coli tests,http://purl.obolibrary.org/obo/EUPATH_0011770
http://purl.obolibrary.org/obo/EUPATH_0010579,Adenovirus ELISA performed,"Whether an ELISA for Adenovirus was performed on this stool sample. Whenever a participant produced at least 3 loose stools in a single day, diarrheal stool samples were collected before the end of the episode. Work up for detection of enteric pathogens was performed on the first stool sample collected during each diarrheal episode until 24 months of age (with a possible extension to 36 months of age) and on first monthly asymptomatic stool samples collected at 1-12, 15, 18, 21, and 24 months of age (with the option to test additional monthly stool samples to 36 months of age).",micro x::fvfadenoelisa; fvfadenoelisa,Stool virus testing; Fecal viral tests,http://purl.obolibrary.org/obo/EUPATH_0011785
http://purl.obolibrary.org/obo/EUPATH_0010580,Astrovirus ELISA performed,"Whether an ELISA for Astrovirus was performed on this stool sample. Whenever a participant produced at least 3 loose stools in a single day, diarrheal stool samples were collected before the end of the episode. Work up for detection of enteric pathogens was performed on the first stool sample collected during each diarrheal episode until 24 months of age (with a possible extension to 36 months of age) and on first monthly asymptomatic stool samples collected at 1-12, 15, 18, 21, and 24 months of age (with the option to test additional monthly stool samples to 36 months of age).",micro x::fvfastroelisa; fvfastroelisa,Stool virus testing; Fecal viral tests,http://purl.obolibrary.org/obo/EUPATH_0011785
http://purl.obolibrary.org/obo/EUPATH_0010581,Rotavirus ELISA performed,"Whether an ELISA for Rotavirus was performed on this stool sample. Whenever a participant produced at least 3 loose stools in a single day, diarrheal stool samples were collected before the end of the episode. Work up for detection of enteric pathogens was performed on the first stool sample collected during each diarrheal episode until 24 months of age (with a possible extension to 36 months of age) and on first monthly asymptomatic stool samples collected at 1-12, 15, 18, 21, and 24 months of age (with the option to test additional monthly stool samples to 36 months of age).",micro x::fvfrotaelisa; ext mgmt bv ddep st::epistool; fvfrotaelisa,Stool virus testing; Fecal viral tests,http://purl.obolibrary.org/obo/EUPATH_0011785
http://purl.obolibrary.org/obo/EUPATH_0010582,Fecal viral testing completed,"Whether fecal viral testing was completed (defined as having ELISA tests for Adenovirus, Astrovirus, and Rotavirus completed) for this stool sample. Whenever a participant produced at least 3 loose stools in a single day, diarrheal stool samples were collected before the end of the episode. Work up for detection of enteric pathogens was performed on the first stool sample collected during each diarrheal episode until 24 months of age (with a possible extension to 36 months of age) and on first monthly asymptomatic stool samples collected at 1-12, 15, 18, 21, and 24 months of age (with the option to test additional monthly stool samples to 36 months of age).",micro x::fvftesting; fvftesting,Stool virus testing; Fecal viral tests,http://purl.obolibrary.org/obo/EUPATH_0011785
http://purl.obolibrary.org/obo/EUPATH_0010583,Modified acid stain microscopy performed,"Whether modified acid fast stain microscopy was performed for this stool sample. Whenever a participant produced at least 3 loose stools in a single day, diarrheal stool samples were collected before the end of the episode. Work up for detection of enteric pathogens was performed on the first stool sample collected during each diarrheal episode until 24 months of age (with a possible extension to 36 months of age) and on first monthly asymptomatic stool samples collected at 1-12, 15, 18, 21, and 24 months of age (with the option to test additional monthly stool samples to 36 months of age).",micro x::mdfmodstain; mdfmodstain,Stool eukaryote testing; Microscopy,http://purl.obolibrary.org/obo/EUPATH_0015716; http://purl.obolibrary.org/obo/EUPATH_0011802
http://purl.obolibrary.org/obo/EUPATH_0010584,Microscopy testing completed,"Whether microscopy testing was completed (defined as wet prep microscopy (direct and/or formalin concentrate) and acid fast stain microscopy completed) for this stool sample. Whenever a participant produced at least 3 loose stools in a single day, diarrheal stool samples were collected before the end of the episode. Work up for detection of enteric pathogens was performed on the first stool sample collected during each diarrheal episode until 24 months of age (with a possible extension to 36 months of age) and on first monthly asymptomatic stool samples collected at 1-12, 15, 18, 21, and 24 months of age (with the option to test additional monthly stool samples to 36 months of age).",micro x::mdftesting; mdftesting,Stool eukaryote testing; Microscopy,http://purl.obolibrary.org/obo/EUPATH_0015716; http://purl.obolibrary.org/obo/EUPATH_0011802
http://purl.obolibrary.org/obo/EUPATH_0010585,Wet prep microscopy performed,"Whether wet prep microscopy testing was performed (direct and/or formalin concentrate) for this stool sample. Whenever a participant produced at least 3 loose stools in a single day, diarrheal stool samples were collected before the end of the episode. Work up for detection of enteric pathogens was performed on the first stool sample collected during each diarrheal episode until 24 months of age (with a possible extension to 36 months of age) and on first monthly asymptomatic stool samples collected at 1-12, 15, 18, 21, and 24 months of age (with the option to test additional monthly stool samples to 36 months of age).",micro x::mdftests; mdftests,Stool eukaryote testing; Microscopy,http://purl.obolibrary.org/obo/EUPATH_0015716; http://purl.obolibrary.org/obo/EUPATH_0011802
http://purl.obolibrary.org/obo/EUPATH_0010586,Wet prep microscopy type,"Type of wet prep microscopy performed for this stool sample. Whenever a participant produced at least 3 loose stools in a single day, diarrheal stool samples were collected before the end of the episode. Work up for detection of enteric pathogens was performed on the first stool sample collected during each diarrheal episode until 24 months of age (with a possible extension to 36 months of age) and on first monthly asymptomatic stool samples collected at 1-12, 15, 18, 21, and 24 months of age (with the option to test additional monthly stool samples to 36 months of age).",micro x::mdfwetprep; mdfwetprep,Stool eukaryote testing; Microscopy,http://purl.obolibrary.org/obo/EUPATH_0015716; http://purl.obolibrary.org/obo/EUPATH_0011802
http://purl.obolibrary.org/obo/EUPATH_0010587,Stool test count; Stool sample test count,"Number of microbiology tests performed on this stool sample, including bacteriology culture; ELISAs for Campylobacter, Cryptosporidium, Giardia, Entamoeba histolytica, Adenovirus, Astrovirus, and Rotavirus; RT-PCR for Norovirus; PCR for Escherichia coli; wet prep microscopy (direct and concentrate); and modified acid fast stain microscopy. Note: E. coli PCR was not necessary if E. coli was not found in culture; however, E. coli PCR was still considered to be performed to determine the number of tests performed on the stool sample. Whenever a participant produced at least 3 loose stools in a single day, diarrheal stool samples were collected before the end of the episode. Work up for detection of enteric pathogens was performed on the first stool sample collected during each diarrheal episode until 24 months of age (with a possible extension to 36 months of age) and on first monthly asymptomatic stool samples collected at 1-12, 15, 18, 21, and 24 months of age (with the option to test additional monthly stool samples to 36 months of age).",micro x::numbertests; numbertests,Stool microbiology test procedures; Microbiology tests performed,http://purl.obolibrary.org/obo/EUPATH_0011800
http://purl.obolibrary.org/obo/EUPATH_0010588,Norovirus qRT-PCR performed; Norovirus RT-PCR performed,"Whether Norovirus RT-PCR was performed for this stool sample. Whenever a participant produced at least 3 loose stools in a single day, diarrheal stool samples were collected before the end of the episode. Work up for detection of enteric pathogens was performed on the first stool sample collected during each diarrheal episode until 24 months of age (with a possible extension to 36 months of age) and on first monthly asymptomatic stool samples collected at 1-12, 15, 18, 21, and 24 months of age (with the option to test additional monthly stool samples to 36 months of age).",micro x::nrvnorortpcr; nrvnorortpcr,Stool virus testing; Fecal viral tests,http://purl.obolibrary.org/obo/EUPATH_0011785
http://purl.obolibrary.org/obo/EUPATH_0010589,Norovirus testing completed,"Whether Norovirus testing was completed for this stool sample. Requires RT-PCR to have been performed. Whenever a participant produced at least 3 loose stools in a single day, diarrheal stool samples were collected before the end of the episode. Work up for detection of enteric pathogens was performed on the first stool sample collected during each diarrheal episode until 24 months of age (with a possible extension to 36 months of age) and on first monthly asymptomatic stool samples collected at 1-12, 15, 18, 21, and 24 months of age (with the option to test additional monthly stool samples to 36 months of age).",micro x::nrvtesting; nrvtesting,Stool virus testing; Fecal viral tests,http://purl.obolibrary.org/obo/EUPATH_0011785
http://purl.obolibrary.org/obo/EUPATH_0010590,Cryptosporidium ELISA performed,"Whether an ELISA for Cryptosporidium was performed on this stool sample. Whenever a participant produced at least 3 loose stools in a single day, diarrheal stool samples were collected before the end of the episode. Work up for detection of enteric pathogens was performed on diarrheal stool samples collected until 24 months of age (with a possible extension to 36 months of age) and on first monthly asymptomatic stool samples collected at 1-12, 15, 18, 21, and 24 months of age (with the option to test additional monthly stool samples to 36 months of age).",micro x::pefcryptelisa; pefcryptelisa,Protozoa ELISA tests,http://purl.obolibrary.org/obo/EUPATH_0011812
http://purl.obolibrary.org/obo/EUPATH_0010591,Entamoeba histolytica ELISA performed,"Whether an ELISA for Entamoeba histolytica was performed on this stool sample. Whenever a participant produced at least 3 loose stools in a single day, diarrheal stool samples were collected before the end of the episode. Work up for detection of enteric pathogens was performed on diarrheal stool samples collected until 24 months of age (with a possible extension to 36 months of age) and on first monthly asymptomatic stool samples collected at 1-12, 15, 18, 21, and 24 months of age (with the option to test additional monthly stool samples to 36 months of age).",micro x::pefehistelisa; pefehistelisa,Protozoa ELISA tests,http://purl.obolibrary.org/obo/EUPATH_0011812
http://purl.obolibrary.org/obo/EUPATH_0010592,Giardia ELISA performed,"Results of Giardia ELISA for this stool sample. Whenever a participant produced at least 3 loose stools in a single day, diarrheal stool samples were collected before the end of the episode. Work up for detection of enteric pathogens was performed on diarrheal stool samples collected until 24 months of age (with a possible extension to 36 months of age) and on first monthly asymptomatic stool samples collected at 1-12, 15, 18, 21, and 24 months of age (with the option to test additional monthly stool samples to 36 months of age).",micro x::pefgiarelisa; pefgiarelisa,Protozoa ELISA tests,http://purl.obolibrary.org/obo/EUPATH_0011812
http://purl.obolibrary.org/obo/EUPATH_0010593,Protozoa ELISA testing completed,"Whether protozoal ELISA testing was completed (defined as having ELISA tests for Cryptosporidium, Entamoeba histolytica, and Giardia completed) for this stool sample. Whenever a participant produced at least 3 loose stools in a single day, diarrheal stool samples were collected before the end of the episode. Work up for detection of enteric pathogens was performed on diarrheal stool samples collected until 24 months of age (with a possible extension to 36 months of age) and on first monthly asymptomatic stool samples collected at 1-12, 15, 18, 21, and 24 months of age (with the option to test additional monthly stool samples to 36 months of age).",micro x::peftesting; peftesting,Protozoa ELISA tests,http://purl.obolibrary.org/obo/EUPATH_0011812
http://purl.obolibrary.org/obo/EUPATH_0010595,"EAEC aatA-pos and aaiC-pos, by PCR",,pn9; aata aaic,Escherichia in stool,http://purl.obolibrary.org/obo/EUPATH_0011976
http://purl.obolibrary.org/obo/EUPATH_0010596,Cumulative sum aaiC-pos and aatA-pos stools,"Cumulative sum of stool samples positive for aaiC and aatA (Escherichia coli virulence genes) by PCR to date per participant. Whenever a participant produced at least 3 loose stools in a single day, diarrheal stool samples were collected before the end of the episode. Work up for detection of enteric pathogens was performed on the first stool sample collected during each diarrheal episode until 24 months of age (with a possible extension to 36 months of age) and on first monthly asymptomatic stool samples collected at 1-12, 15, 18, 21, and 24 months of age (with the option to test additional monthly stool samples to 36 months of age).",micro x::aata aaic cum; aata aaic cum,Virulence factor genes aatA and aaiC aggregate data,http://purl.obolibrary.org/obo/EUPATH_0011831
http://purl.obolibrary.org/obo/EUPATH_0010597,Cumulative sum aaiC-pos and aatA-pos 1st diarrheal stools,"Cumulative sum of first diarrheal stool samples positive for aaiC and aatA (Escherichia coli virulence genes) by PCR to date per participant. Whenever a participant produced at least 3 loose stools in a single day, diarrheal stool samples were collected before the end of the episode. Work up for detection of enteric pathogens was performed on the first stool sample collected during each diarrheal episode until 24 months of age (with a possible extension to 36 months of age).",micro x::aata aaic cum d; aata aaic cum d,Virulence factor genes aatA and aaiC aggregate data,http://purl.obolibrary.org/obo/EUPATH_0011831
http://purl.obolibrary.org/obo/EUPATH_0010598,Cumulative sum aaiC-pos and aatA-pos 1st monthly stools,"Cumulative sum of first monthly stool samples positive for aaiC and aatA (Escherichia coli virulence genes) by PCR to date per participant. Work up for detection of enteric pathogens was performed on first monthly asymptomatic stool samples collected at 1-12, 15, 18, 21, and 24 months of age (with the option to test additional monthly stool samples to 36 months of age).",micro x::aata aaic cum m; aata aaic cum m,Virulence factor genes aatA and aaiC aggregate data,http://purl.obolibrary.org/obo/EUPATH_0011831
http://purl.obolibrary.org/obo/EUPATH_0010599,"Adenovirus, by ELISA","Whether Adenovirus was detected by ELISA for this stool sample. Whenever a participant produced at least 3 loose stools in a single day, diarrheal stool samples were collected before the end of the episode. Work up for detection of enteric pathogens was performed on the first stool sample collected during each diarrheal episode until 24 months of age (with a possible extension to 36 months of age) and on first monthly asymptomatic stool samples collected at 1-12, 15, 18, 21, and 24 months of age (with the option to test additional monthly stool samples to 36 months of age).",micro x::adeno; f18 res adenovirus; adeno,Adenovirus in stool,http://purl.obolibrary.org/obo/EUPATH_0011964
http://purl.obolibrary.org/obo/EUPATH_0010600,Cumulative sum Adenovirus-pos stools,"Cumulative sum of stool samples positive for Adenovirus by ELISA to date per participant. Whenever a participant produced at least 3 loose stools in a single day, diarrheal stool samples were collected before the end of the episode. Work up for detection of enteric pathogens was performed on the first stool sample collected during each diarrheal episode until 24 months of age (with a possible extension to 36 months of age) and on first monthly asymptomatic stool samples collected at 1-12, 15, 18, 21, and 24 months of age (with the option to test additional monthly stool samples to 36 months of age).",micro x::adeno cum; adeno cum,Adenovirus aggregate data,http://purl.obolibrary.org/obo/EUPATH_0011837
http://purl.obolibrary.org/obo/EUPATH_0010601,Cumulative sum Adenovirus-pos 1st diarrheal stools,"Cumulative sum of first diarrheal stool samples positive for Adenovirus by ELISA to date per participant. Whenever a participant produced at least 3 loose stools in a single day, diarrheal stool samples were collected before the end of the episode. Work up for detection of enteric pathogens was performed on the first stool sample collected during each diarrheal episode until 24 months of age (with a possible extension to 36 months of age).",micro x::adeno cum d; adeno cum d,Adenovirus aggregate data,http://purl.obolibrary.org/obo/EUPATH_0011837
http://purl.obolibrary.org/obo/EUPATH_0010602,Cumulative sum Adenovirus-pos 1st monthly stools,"Cumulative sum of first monthly asymptomatic stool samples positive for Adenovirus by ELISA to date per participant. Work up for detection of enteric pathogens was performed on first monthly asymptomatic stool samples collected at 1-12, 15, 18, 21, and 24 months of age (with the option to test additional monthly stool samples to 36 months of age).",micro x::adeno cum m; adeno cum m,Adenovirus aggregate data,http://purl.obolibrary.org/obo/EUPATH_0011837
http://purl.obolibrary.org/obo/EUPATH_0010603,"Aeromonas, by bacteriology","Whether Aeromonas was detected by bacteriology culture for this stool sample. Whenever a participant produced at least 3 loose stools in a single day, diarrheal stool samples were collected before the end of the episode. Work up for detection of enteric pathogens was performed on the first stool sample collected during each diarrheal episode until 24 months of age (with a possible extension to 36 months of age) and on first monthly asymptomatic stool samples collected at 1-12, 15, 18, 21, and 24 months of age (with the option to test additional monthly stool samples to 36 months of age).",micro x::aeromonas; f16 aeromonas; pn23; aeromonas,Aeromonas in stool,http://purl.obolibrary.org/obo/EUPATH_0011965
http://purl.obolibrary.org/obo/EUPATH_0010604,Cumulative sum Aeromonas-pos stools,"Cumulative sum of stool samples positive for Aeromonas by bacteriology culture to date per participant. Whenever a participant produced at least 3 loose stools in a single day, diarrheal stool samples were collected before the end of the episode. Work up for detection of enteric pathogens was performed on the first stool sample collected during each diarrheal episode until 24 months of age (with a possible extension to 36 months of age) and on first monthly asymptomatic stool samples collected at 1-12, 15, 18, 21, and 24 months of age (with the option to test additional monthly stool samples to 36 months of age).",micro x::aeromonas cum; aeromonas cum,Aeromonas aggregate data,http://purl.obolibrary.org/obo/EUPATH_0011754
http://purl.obolibrary.org/obo/EUPATH_0010605,Cumulative sum Aeromonas-pos 1st diarrheal stools,"Cumulative sum of first diarrheal stool samples positive for Aeromonas by bacteriology culture to date per participant. Whenever a participant produced at least 3 loose stools in a single day, diarrheal stool samples were collected before the end of the episode. Work up for detection of enteric pathogens was performed on the first stool sample collected during each diarrheal episode until 24 months of age (with a possible extension to 36 months of age).",micro x::aeromonas cum d; aeromonas cum d,Aeromonas aggregate data,http://purl.obolibrary.org/obo/EUPATH_0011754
http://purl.obolibrary.org/obo/EUPATH_0010606,Cumulative sum Aeromonas-pos 1st monthly stools,"Cumulative sum of first monthly asymptomatic stool samples positive for Aeromonas by bacteriology culture to date per participant. Work up for detection of enteric pathogens was performed on first monthly asymptomatic stool samples collected at 1-12, 15, 18, 21, and 24 months of age (with the option to test additional monthly stool samples to 36 months of age).",micro x::aeromonas cum m; aeromonas cum m,Aeromonas aggregate data,http://purl.obolibrary.org/obo/EUPATH_0011754
http://purl.obolibrary.org/obo/EUPATH_0010607,"Ascaris lumbricoides, by microscopy","Whether Ascaris lumbricoide was detected by microscopy for this stool sample. Whenever a participant produced at least 3 loose stools in a single day, diarrheal stool samples were collected before the end of the episode. Work up for detection of enteric pathogens was performed on the first stool sample collected during each diarrheal episode until 24 months of age (with a possible extension to 36 months of age) and on first monthly asymptomatic stool samples collected at 1-12, 15, 18, 21, and 24 months of age (with the option to test additional monthly stool samples to 36 months of age).; Binary flag to indicate Ascaris infection through egg detection in Kato-Katz test; Presence or absence of ascaris eggs in study participant,  based on detection in the the stool sample",micro x::alumb; score burundi mapping dataset::ascaris.kk 01; asc binary; score rwanda mapping dataset::ascaris.kk 01; alumb,Ascaris in stool,http://purl.obolibrary.org/obo/EUPATH_0030119
http://purl.obolibrary.org/obo/EUPATH_0010608,Cumulative sum Ascaris lumbricoides-pos stools,"Cumulative sum of stool samples positive for Ascaris lumbricoides by microscopy to date per participant. Whenever a participant produced at least 3 loose stools in a single day, diarrheal stool samples were collected before the end of the episode. Work up for detection of enteric pathogens was performed on the first stool sample collected during each diarrheal episode until 24 months of age (with a possible extension to 36 months of age) and on first monthly asymptomatic stool samples collected at 1-12, 15, 18, 21, and 24 months of age (with the option to test additional monthly stool samples to 36 months of age).",micro x::alumb cum; alumb cum,Ascaris lumbricoides aggregate data,http://purl.obolibrary.org/obo/EUPATH_0011758
http://purl.obolibrary.org/obo/EUPATH_0010609,Cumulative sum Ascaris lumbricoides-pos 1st diarrheal stools,"Cumulative sum of first diarrheal stool samples positive for Ascaris lumbricoides by microscopy to date per participant. Whenever a participant produced at least 3 loose stools in a single day, diarrheal stool samples were collected before the end of the episode. Work up for detection of enteric pathogens was performed on the first stool sample collected during each diarrheal episode until 24 months of age (with a possible extension to 36 months of age).",micro x::alumb cum d; alumb cum d,Ascaris lumbricoides aggregate data,http://purl.obolibrary.org/obo/EUPATH_0011758
http://purl.obolibrary.org/obo/EUPATH_0010610,Cumulative sum Ascaris lumbricoides-pos 1st monthly stools,"Cumulative sum of first monthly asymptomatic stool samples positive for Ascaris lumbricoides by microscopy to date per participant. Work up for detection of enteric pathogens was performed on first monthly asymptomatic stool samples collected at 1-12, 15, 18, 21, and 24 months of age (with the option to test additional monthly stool samples to 36 months of age).",micro x::alumb cum m; alumb cum m,Ascaris lumbricoides aggregate data,http://purl.obolibrary.org/obo/EUPATH_0011758
http://purl.obolibrary.org/obo/EUPATH_0010611,"Astrovirus, by ELISA","Whether Astrovirus was detected by ELISA for this stool sample. Whenever a participant produced at least 3 loose stools in a single day, diarrheal stool samples were collected before the end of the episode. Work up for detection of enteric pathogens was performed on the first stool sample collected during each diarrheal episode until 24 months of age (with a possible extension to 36 months of age) and on first monthly asymptomatic stool samples collected at 1-12, 15, 18, 21, and 24 months of age (with the option to test additional monthly stool samples to 36 months of age).",micro x::astro; astro,Astrovirus in stool,http://purl.obolibrary.org/obo/EUPATH_0011985
http://purl.obolibrary.org/obo/EUPATH_0010612,Cumulative sum Astrovirus-pos stools,"Cumulative sum of stool samples positive for Astrovirus by ELISA to date per participant. Whenever a participant produced at least 3 loose stools in a single day, diarrheal stool samples were collected before the end of the episode. Work up for detection of enteric pathogens was performed on the first stool sample collected during each diarrheal episode until 24 months of age (with a possible extension to 36 months of age) and on first monthly asymptomatic stool samples collected at 1-12, 15, 18, 21, and 24 months of age (with the option to test additional monthly stool samples to 36 months of age).",micro x::astro cum; astro cum,Astrovirus aggregate data,http://purl.obolibrary.org/obo/EUPATH_0011759
http://purl.obolibrary.org/obo/EUPATH_0010613,Cumulative sum Astrovirus-pos 1st diarrheal stools,"Cumulative sum of first diarrheal stool samples positive for Astrovirus by ELISA to date per participant. Whenever a participant produced at least 3 loose stools in a single day, diarrheal stool samples were collected before the end of the episode. Work up for detection of enteric pathogens was performed on the first stool sample collected during each diarrheal episode until 24 months of age (with a possible extension to 36 months of age).",micro x::astro cum d; astro cum d,Astrovirus aggregate data,http://purl.obolibrary.org/obo/EUPATH_0011759
http://purl.obolibrary.org/obo/EUPATH_0010614,Cumulative sum Astrovirus-pos 1st monthly stools,"Cumulative sum of first monthly asymptomatic stool samples positive for Astrovirus by ELISA to date per participant. Work up for detection of enteric pathogens was performed on first monthly asymptomatic stool samples collected at 1-12, 15, 18, 21, and 24 months of age (with the option to test additional monthly stool samples to 36 months of age).",micro x::astro cum m; astro cum m,Astrovirus aggregate data,http://purl.obolibrary.org/obo/EUPATH_0011759
http://purl.obolibrary.org/obo/EUPATH_0010615,"Trichuris trichiura, by microscopy","Whether Trichuris trichiura was detected by microscopy for this stool sample. Whenever a participant produced at least 3 loose stools in a single day, diarrheal stool samples were collected before the end of the episode. Work up for detection of enteric pathogens was performed on the first stool sample collected during each diarrheal episode until 24 months of age (with a possible extension to 36 months of age) and on first monthly asymptomatic stool samples collected at 1-12, 15, 18, 21, and 24 months of age (with the option to test additional monthly stool samples to 36 months of age).; Binary flag to indicate Trichuris infection through egg detection in Kato-Katz test; Assessed once per diarrheal episode.; Presence or absence of trichuris eggs in study participant,  based on detection in the stool sample",micro x::atric; score burundi mapping dataset::trich.kk 01; trich binary; ext bv dsmicr st::tt; score rwanda mapping dataset::trich.kk 01; atric,Trichuris in stool,http://purl.obolibrary.org/obo/EUPATH_0030120
http://purl.obolibrary.org/obo/EUPATH_0010616,Cumulative sum Trichuris trichiura-pos stools,"Cumulative sum of stool samples positive for Trichuris trichiura by microscopy to date per participant. Whenever a participant produced at least 3 loose stools in a single day, diarrheal stool samples were collected before the end of the episode. Work up for detection of enteric pathogens was performed on the first stool sample collected during each diarrheal episode until 24 months of age (with a possible extension to 36 months of age) and on first monthly asymptomatic stool samples collected at 1-12, 15, 18, 21, and 24 months of age (with the option to test additional monthly stool samples to 36 months of age).",micro x::atric cum; atric cum,Trichuris trichiura aggregate data,http://purl.obolibrary.org/obo/EUPATH_0011823
http://purl.obolibrary.org/obo/EUPATH_0010617,Cumulative sum Trichuris trichiura-pos 1st diarrheal stools,"Cumulative sum of first diarrheal stool samples positive for Trichuris trichiura by microscopy to date per participant. Whenever a participant produced at least 3 loose stools in a single day, diarrheal stool samples were collected before the end of the episode. Work up for detection of enteric pathogens was performed on the first stool sample collected during each diarrheal episode until 24 months of age (with a possible extension to 36 months of age).",micro x::atric cum d; atric cum d,Trichuris trichiura aggregate data,http://purl.obolibrary.org/obo/EUPATH_0011823
http://purl.obolibrary.org/obo/EUPATH_0010618,Cumulative sum Trichuris trichiura-pos 1st monthly stools,"Cumulative sum of first monthly asymptomatic stool samples positive for Trichuris trichiura by microscopy to date per participant. Work up for detection of enteric pathogens was performed on first monthly asymptomatic stool samples collected at 1-12, 15, 18, 21, and 24 months of age (with the option to test additional monthly stool samples to 36 months of age).",micro x::atric cum m; atric cum m,Trichuris trichiura aggregate data,http://purl.obolibrary.org/obo/EUPATH_0011823
http://purl.obolibrary.org/obo/EUPATH_0010619,"Atypical EPEC, by PCR","Whether Enteropathogenic Escherichia coli (EPEC), as defined by the presence of eae and the absence of bfpA, stx1 and stx2 (E. coli virulence genes), was detected by PCR, for this stool sample. Whenever a participant produced at least 3 loose stools in a single day, diarrheal stool samples were collected before the end of the episode. Work up for detection of enteric pathogens was performed on the first stool sample collected during each diarrheal episode until 24 months of age (with a possible extension to 36 months of age) and on first monthly asymptomatic stool samples collected at 1-12, 15, 18, 21, and 24 months of age (with the option to test additional monthly stool samples to 36 months of age).; eae positive, bfpA and stx negative; eae positive, bfpA negative",micro x::atypicalepec; aepec; pn15; atypicalepec,Escherichia in stool,http://purl.obolibrary.org/obo/EUPATH_0011976
http://purl.obolibrary.org/obo/EUPATH_0010620,Cumulative sum atypical EPEC-pos stools,"Cumulative sum of stool samples positive for atypical Enteropathogenic Escherichia coli (EPEC) by PCR to date per participant. Atypical EPEC was defined as the presence of the eae virulence gene alone (in the absence of bfpA, stx1, or stx2). Whenever a participant produced at least 3 loose stools in a single day, diarrheal stool samples were collected before the end of the episode. Work up for detection of enteric pathogens was performed on the first stool sample collected during each diarrheal episode until 24 months of age (with a possible extension to 36 months of age) and on first monthly asymptomatic stool samples collected at 1-12, 15, 18, 21, and 24 months of age (with the option to test additional monthly stool samples to 36 months of age).",micro x::atypicalepec cum; atypicalepec cum,Enteropathogenic Escherichia coli (EPEC) aggregate data,http://purl.obolibrary.org/obo/EUPATH_0011778
http://purl.obolibrary.org/obo/EUPATH_0010621,Cumulative sum atypical EPEC-pos 1st diarrheal stools,"Cumulative sum of first diarrheal stool samples positive for atypical Enteropathogenic Escherichia coli (EPEC) by PCR to date per participant. Atypical EPEC was defined as the presence of the eae virulence gene alone (in the absence of bfpA, stx1, or stx2). Whenever a participant produced at least 3 loose stools in a single day, diarrheal stool samples were collected before the end of the episode. Work up for detection of enteric pathogens was performed on the first stool sample collected during each diarrheal episode until 24 months of age (with a possible extension to 36 months of age).",micro x::atypicalepec cum d; atypicalepec cum d,Enteropathogenic Escherichia coli (EPEC) aggregate data,http://purl.obolibrary.org/obo/EUPATH_0011778
http://purl.obolibrary.org/obo/EUPATH_0010622,Cumulative sum atypical EPEC-pos 1st monthly stools,"Cumulative sum of first monthly asymptomatic stool samples positive for atypical Enteropathogenic Escherichia coli (EPEC) by PCR to date per participant. Atypical EPEC was defined as the presence of the eae virulence gene alone (in the absence of bfpA, stx1, or stx2). Work up for detection of enteric pathogens was performed on first monthly asymptomatic stool samples collected at 1-12, 15, 18, 21, and 24 months of age (with the option to test additional monthly stool samples to 36 months of age).",micro x::atypicalepec cum m; atypicalepec cum m,Enteropathogenic Escherichia coli (EPEC) aggregate data,http://purl.obolibrary.org/obo/EUPATH_0011778
http://purl.obolibrary.org/obo/EUPATH_0010623,"Balantidium coli, by microscopy","Whether Balantidium coli was detected by microscopy for this stool sample. Whenever a participant produced at least 3 loose stools in a single day, diarrheal stool samples were collected before the end of the episode. Work up for detection of enteric pathogens was performed on the first stool sample collected during each diarrheal episode until 24 months of age (with a possible extension to 36 months of age) and on first monthly asymptomatic stool samples collected at 1-12, 15, 18, 21, and 24 months of age (with the option to test additional monthly stool samples to 36 months of age).",micro x::bcoli; bcoli,Balantidium in stool,http://purl.obolibrary.org/obo/EUPATH_0011968
http://purl.obolibrary.org/obo/EUPATH_0010624,Cumulative sum Balantidium coli-pos stools,"Cumulative sum of stool samples positive for Balantidium coli by microscopy to date per participant. Whenever a participant produced at least 3 loose stools in a single day, diarrheal stool samples were collected before the end of the episode. Work up for detection of enteric pathogens was performed on the first stool sample collected during each diarrheal episode until 24 months of age (with a possible extension to 36 months of age) and on first monthly asymptomatic stool samples collected at 1-12, 15, 18, 21, and 24 months of age (with the option to test additional monthly stool samples to 36 months of age).",micro x::bcoli cum; bcoli cum,Balantidium coli aggregate data,http://purl.obolibrary.org/obo/EUPATH_0011762
http://purl.obolibrary.org/obo/EUPATH_0010625,Cumulative sum Balantidium coli-pos 1st diarrheal stools,"Cumulative sum of first diarrheal stool samples positive for Balantidium coli by microscopy to date per participant. Whenever a participant produced at least 3 loose stools in a single day, diarrheal stool samples were collected before the end of the episode. Work up for detection of enteric pathogens was performed on the first stool sample collected during each diarrheal episode until 24 months of age (with a possible extension to 36 months of age).",micro x::bcoli cum d; bcoli cum d,Balantidium coli aggregate data,http://purl.obolibrary.org/obo/EUPATH_0011762
