IRI,label,variable,codebookDescription,codebookValues
http://purl.obolibrary.org/obo/EUPATH_0010234,Fetch drinking water everyday,F4A_FETCH_WATER | F7_FETCH_WATER,Do you or other members from your household go and fetch drinking water fro the household every day?,0
http://purl.obolibrary.org/obo/EUPATH_0000006,Floor material,F4A_FLOOR | F7_FLOOR,What is the predominant floor in the house of Child?,1
http://purl.obolibrary.org/obo/EUPATH_0015013,Biogas,F4A_FUEL_BIOGAS | F7_FUEL_BIOGAS,What type of cooking fuel does your house use? Biogas?,0
http://purl.obolibrary.org/obo/EUPATH_0015012,Electricity,F4A_FUEL_ELEC | F7_FUEL_ELEC,What type of cooking fuel does your house use? Electricity?,0
http://purl.obolibrary.org/obo/EUPATH_0015014,"Straw, shrubs, or grass",F4A_FUEL_GRASS | F7_FUEL_GRASS,What type of cooking fuel does your house use? Straw/Shrubs/Grass?,0
http://purl.obolibrary.org/obo/EUPATH_0015021,Kerosene,F4A_FUEL_KERO | F7_FUEL_KERO,What type of cooking fuel does your house use? Kerosene?,0
http://purl.obolibrary.org/obo/EUPATH_0015018,Natural gas,F4A_FUEL_NATGAS | F7_FUEL_NATGAS,What type of cooking fuel does your house use? Natural gas?,0
http://purl.obolibrary.org/obo/EUPATH_0015023,Other,F4A_FUEL_OTHER | F7_FUEL_OTHER,What type of cooking fuel does your house use? Other?,0
http://purl.obolibrary.org/obo/EUPATH_0010245,"Traditional healer, medical expenses",F4A_HEAL_TOTAL,What were your or your household estimated out-of-pocket expenses for the following: Total Medical Traditional Healer,Num
http://purl.obolibrary.org/obo/EUPATH_0010246,"Traditional healer, transport expenses",F4A_HEAL_TRNSPRT,What were your or your household estimated out-of-pocket expenses for the following: Transportation Traditional Healer,Num
http://purl.obolibrary.org/obo/EUPATH_0015089,Antibiotics,F4A_HOMETRT_AB,"Before coming to this hospital/health center, was child given any of the following to treat their diarrhea? Antibiotics?",0
http://purl.obolibrary.org/obo/EUPATH_0015085,Home remedy or herbal medication,F4A_HOMETRT_HERB,"Before coming to this hospital/health center, was child given any of the following to treat their diarrhea? Home remedy/Herbal medicaion?",0
http://purl.obolibrary.org/obo/EUPATH_0015083,Homemade fluid,F4A_HOMETRT_MAIZE,"Before coming to this hospital/health center, was child given any of the following to treat their diarrhea? Homemade fluid?",0
http://purl.obolibrary.org/obo/EUPATH_0015084,Special milk or infant formula,F4A_HOMETRT_MILK,"Before coming to this hospital/health center, was child given any of the following to treat their diarrhea? Special milk or infant formula?",0
http://purl.obolibrary.org/obo/EUPATH_0015087,No special remedies given,F4A_HOMETRT_NONE,"Before coming to this hospital/health center, was child given any of the following to treat their diarrhea? No special remedies given?",0
http://purl.obolibrary.org/obo/EUPATH_0015082,ORALITE or ORS,F4A_HOMETRT_ORS,"Before coming to this hospital/health center, was child given any of the following to treat their diarrhea? A fluid made from a special packed called Oralite or ORS?",0
http://purl.obolibrary.org/obo/EUPATH_0015090,Other treatment,F4A_HOMETRT_OTHR2 | F4A_HOMETRT_OTHR1,"Before coming to this hospital/health center, was child given any of the following to treat their diarrhea? Other (1)? | Before coming to this hospital/health center, was child given any of the following to treat their diarrhea? Other (2)?",0
http://purl.obolibrary.org/obo/EUPATH_0015088,Any other liquids,F4A_HOMETRT_OTHRLIQ,"Before coming to this hospital/health center, was child given any of the following to treat their diarrhea? Any other liquids?",0
http://purl.obolibrary.org/obo/EUPATH_0015086,Zinc,F4A_HOMETRT_ZINC,"Before coming to this hospital/health center, was child given any of the following to treat their diarrhea? Zinc (tablet/syrup)?",0
http://purl.obolibrary.org/obo/EUPATH_0015008,Agricultural land,F4A_HOUSE_AGLAND | F7_HOUSE_AGLAND,Does your household have Agricultural Land?,0
http://purl.obolibrary.org/obo/EUPATH_0000179,Boat with a motor,F4A_HOUSE_BOAT | F7_HOUSE_BOAT,Does your household have a boat with a motor?,0
http://purl.obolibrary.org/obo/EUPATH_0015011,None of the above,F4A_HOUSE_NONE | F7_HOUSE_NONE,Does your household have none of the above?,0
http://purl.obolibrary.org/obo/ENVO_01000580,Telephone (mobile or non-mobile),F4A_HOUSE_PHONE | F7_HOUSE_PHONE,Does your household have a telephone (mobile or non-mobile)?,0
http://purl.obolibrary.org/obo/ENVO_01000579,Television,F4A_HOUSE_TELE | F7_HOUSE_TELE,Does your household have a telephone (mobile or non-mobile)? | Does your household have a television?,0
http://purl.obolibrary.org/obo/EUPATH_0010273,Lost earnings due to care,F4A_LOSE_EARN,Did you lose some earnings due to seeking or providing care during Child's Illness,0
http://purl.obolibrary.org/obo/EUPATH_0010274,Amount earnings lost due to care,F4A_LOSE_TOTAL,"If yes, how much?",
http://purl.obolibrary.org/obo/EUPATH_0010240,Max loose stools at episode,F4A_MAX_STOOLS,"During the illness, what was the maximum number of loose stools that Child passed in a day (24 hour period)?",1
http://purl.obolibrary.org/obo/EUPATH_0015103,Selling assets,F4A_MONEY_ASSET,Where did the money come from? Selling assets?,0
http://purl.obolibrary.org/obo/EUPATH_0015102,Borrowing,F4A_MONEY_BORROW,Where did the money come from? Borrowing?,0
http://purl.obolibrary.org/obo/EUPATH_0015104,Asking for donations outside the household,F4A_MONEY_DONAT,Where did the money come from? Asking for donations outside the household?,0
http://purl.obolibrary.org/obo/EUPATH_0015099,Cutting down expenses from meals,F4A_MONEY_MEAL,Where did the money come from? Cutting down expenses from meal?,0
http://purl.obolibrary.org/obo/EUPATH_0015100,Cutting down from other expenses,F4A_MONEY_OTHEXP,Where did the money come from? Cutting down from other expenses?,0
http://purl.obolibrary.org/obo/EUPATH_0015106,Other money source,F4A_MONEY_OTHR,Where did the money come from? Other?,0
http://purl.obolibrary.org/obo/EUPATH_0015105,Paid by relative or friend,F4A_MONEY_RELATIVE,Where did the money come from? Relative or friend pays on your behalf?,0
http://purl.obolibrary.org/obo/EUPATH_0015101,Using savings,F4A_MONEY_SVNGS,Where did the money come from? Using savings?,0
http://purl.obolibrary.org/obo/EUPATH_0010241,Amount offered to drink during diarrheal episode,F4A_OFFR_DRINK,"The last time Child had diarrhea, how much did you offer Child to drink? | Since Child developed diarrhea, how much have you been offering Child to drink?",0 | 1
http://purl.obolibrary.org/obo/EUPATH_0010177,Amount offered to eat during diarrheal episode,F4A_OFFR_EAT,"Since Child developed diarrhea, how much have you been offering Child to eat? | The last time Child had diarrhea, how much did you offer Child to eat?",0 | 1
http://purl.obolibrary.org/obo/EUPATH_0010260,Previously sought care other expenses (amount),F4A_OTHER_TOTAL,What were your or your household estimated out-of-pocket expenses for the following: Total Medical Other,Num
http://purl.obolibrary.org/obo/EUPATH_0010261,Other transportation expenses,F4A_OTHER_TRNSPRT,What were your or your household estimated out-of-pocket expenses for the following: Transportation Other,Num
http://purl.obolibrary.org/obo/EUPATH_0010275,Other lost earnings,F4A_OTHRLOSE_EARN,Did other caregivers lose some earnings due to seeking or providing care during Child's Illness,0
http://purl.obolibrary.org/obo/EUPATH_0010276,Amount other lost earnings,F4A_OTHRLOSE_TOTAL,"If yes, how much?",
http://purl.obolibrary.org/obo/EUPATH_0010243,"Pharmacy, medical expenses",F4A_PHARM_TOTAL,What were your or your household estimated out-of-pocket expenses for the following: Total Medical Pharmacy,Num
http://purl.obolibrary.org/obo/EUPATH_0010244,"Pharmacy, transport expenses",F4A_PHARM_TRNSPRT,What were your or your household estimated out-of-pocket expenses for the following: Transportation Pharmacy,Num
http://purl.obolibrary.org/obo/EUPATH_0000019,Persons living in house,F4A_PPL_HOUSE | F7_PPL_HOUSE,How many people have been living regularly in your household for the past 6 months?,Num
http://purl.obolibrary.org/obo/EUPATH_0010129,Primary caregiver's education level,F4A_PRIM_SCHL | F7_PRIM_SCHL,How far did the child's primary caregiver go in school?,1
http://purl.obolibrary.org/obo/EUPATH_0010249,"Licensed doctor, medical expenses",F4A_PRIVDOC_TOTAL,What were your or your household estimated out-of-pocket expenses for the following: Total Medical Licensed practitioner/private doctor,Num
http://purl.obolibrary.org/obo/EUPATH_0010250,"Licensed doctor, transport expenses",F4A_PRIVDOC_TRNSPRT,What were your or your household estimated out-of-pocket expenses for the following: Transportation Licensed practitioner/private doctor,Num
http://purl.obolibrary.org/obo/EUPATH_0010123,Interviewee relationship to participant,F4A_RELATIONSHIP | F7_RELATION,What is your relationship to the Child?,1
http://purl.obolibrary.org/obo/EUPATH_0010251,"Bought remedy or medicine, medical expenses",F4A_REMDY_TOTAL,What were your or your household estimated out-of-pocket expenses for the following: Total Medical Bought remedy/medicine at the shop/market,Num
http://purl.obolibrary.org/obo/EUPATH_0010252,"Bought remedy or medicine, transport expenses",F4A_REMDY_TRNSPRT,What were your or your household estimated out-of-pocket expenses for the following: Transportation Bought remedy/medicine at the shop/market,Num
http://purl.obolibrary.org/obo/EUPATH_0010155,1st choice hospital or health center,F4A_SEEK_CTR1 | F7_SEEK_CTR1,"If you previously sought care for Child for this illness, where did you go? Hospital/Center of first choice? | If you sought care for Child's last episode of diarrhea where did you go? Hospital/Center of first choice",0
http://purl.obolibrary.org/obo/EUPATH_0010159,1st choice facility SHC,F4A_SEEK_CTR1_SHC | F7_SEEK_CTR1_SHC,If you sought care for Child's last episode of diarrhea where did you go? Hospital/Center of first choice. SHC,0
http://purl.obolibrary.org/obo/EUPATH_0010161,2nd choice hospital or health center,F4A_SEEK_CTR2 | F7_SEEK_CTR2,"If you sought care for Child's last episode of diarrhea where did you go? Hospital/Center of second choice | If you previously sought care for Child for this illness, where did you go? Hospital/Center of second choice?",0
http://purl.obolibrary.org/obo/EUPATH_0010165,2nd choice facility SHC,F4A_SEEK_CTR2_SHC | F7_SEEK_CTR2_SHC,If you sought care for Child's last episode of diarrhea where did you go? Hospital/Center of second choice SHC,0
http://purl.obolibrary.org/obo/EUPATH_0010167,3rd choice hospital or health center,F4A_SEEK_CTR3 | F7_SEEK_CTR3,"If you previously sought care for Child for this illness, where did you go? Hospital/Center of third choice? | If you sought care for Child's last episode of diarrhea where did you go? Hospital/Center of third choice",0
http://purl.obolibrary.org/obo/EUPATH_0015095,Traditional healer,F4A_SEEK_HEALER | F7_SEEK_HEALER,"If you sought care for Child's last episode of diarrhea where did you go? Traditional healer | If you previously sought care for Child for this illness, where did you go? Traditional healer?",0
http://purl.obolibrary.org/obo/EUPATH_0010173,Other hospital or health center,F4A_SEEK_OTHER | F7_SEEK_OTHR,"If you previously sought care for Child for this illness, where did you go? Other hospital/center? | If you sought care for Child's last episode of diarrhea where did you go? Other Hospital/Center",0
http://purl.obolibrary.org/obo/EUPATH_0015097,Licensed practitioner,F4A_SEEK_PRIVDOC | F7_SEEK_PRIVDOC,"If you sought care for Child's last episode of diarrhea where did you go? Licensed practitioner/private doctor (not at hospital | If you previously sought care for Child for this illness, where did you go? Licensed practitioner/private doctor (not at hospital)",0
http://purl.obolibrary.org/obo/EUPATH_0015098,Bought a remedy or drug,F4A_SEEK_REMDY | F7_SEEK_REMDY,"If you previously sought care for Child for this illness, where did you go? Bought a remedy/medicine at the shop/market | If you sought care for Child's last episode of diarrhea where did you go? Bought a remedy/medicine at the shop/market?",0
http://purl.obolibrary.org/obo/EUPATH_0010236,Households sharing human waste disposal facility,F4A_SHARE_FAC | F7_SHARE_FAC,How many households (other than your own) share this facility?,Num
http://purl.obolibrary.org/obo/EUPATH_0015111,Selling assets,F4A_SPENT_ASSET,Where did the money that you spent during this visit or hospitalization come from? Selling assets?,0
http://purl.obolibrary.org/obo/EUPATH_0015110,Borrowing,F4A_SPENT_BORROW,Where did the money that you spent during this visit or hospitalization come from? Borrowing?,0
http://purl.obolibrary.org/obo/EUPATH_0015112,Asking for donations outside the household,F4A_SPENT_DONAT,Where did the money that you spent during this visit or hospitalization come from? Asking for donations outside of the household?,0
http://purl.obolibrary.org/obo/EUPATH_0015107,Cutting down expenses from meals,F4A_SPENT_MEAL,Where did the money that you spent during this visit or hospitalization come from? Cutting down expenses from meals?,0
http://purl.obolibrary.org/obo/EUPATH_0015108,Cutting down from other expenses,F4A_SPENT_OTHEXP,Where did the money that you spent during this visit or hospitalization come from? Cutting down on other expenses?,0
http://purl.obolibrary.org/obo/EUPATH_0015114,Other money source,F4A_SPENT_OTHR,Where did the money that you spent during this visit or hospitalization come from? Other?,0
http://purl.obolibrary.org/obo/EUPATH_0015113,Paid by relative or friend,F4A_SPENT_RELATIVE,Where did the money that you spent during this visit or hospitalization come from? Relative or friend pays on your behalf?,0
http://purl.obolibrary.org/obo/EUPATH_0015109,Using savings,F4A_SPENT_SVNGS,Where did the money that you spent during this visit or hospitalization come from? Using savings?,0
http://purl.obolibrary.org/obo/EUPATH_0000726,Time to retrieve drinking water,F4A_TIME_WATER | F7_TIME_WATER,"How long does it take to go there, get water and come back?",0
http://purl.obolibrary.org/obo/EUPATH_0010135,Water trips daily,F4A_TRIP_DAY | F7_TRIP_DAY,"On average, how many trips do you and members of your household make to fetch water each day?",Num
http://purl.obolibrary.org/obo/EUPATH_0010137,Water trips weekly,F4A_TRIP_WEEK | F7_TRIP_WEEK,"On average, how many trips do you and members from your household make to fetch water each week?",Num
http://purl.obolibrary.org/obo/EUPATH_0010263,Amount paid for initial transportation to clinic,F4A_TRNS_INIT_PAY,"If you paid for transportation to bring the child to the hospital or clinic, how much did you pay?",Num
http://purl.obolibrary.org/obo/EUPATH_0010265,Amount paid for transportation by other household members,F4A_TRNS_OTHER_PAY,How much have other members of your household paid for transport to or from this facility as a result of the child's stay in the facility?,Num
http://purl.obolibrary.org/obo/EUPATH_0010264,Amount paid for trips to clinic after initial visit,F4A_TRNS_YOU_PAY,"Other than the first trip to bring the child to the health center, how much did you pay for transport to or from this facility during the child's stay in the facility?",Num
http://purl.obolibrary.org/obo/EUPATH_0010262,Transportation time to clinic,F4A_TRNSPORT_TIME,How long did it take to get here from your home (including the journey time and any time waiting for transport?,1
http://purl.obolibrary.org/obo/EUPATH_0015056,Washes hands after cleaning child who defecated,F4A_WASH_CHILD | F7_WASH_CHILD,When do you usually wash your hands? After cleaning child who defecated?,0
http://purl.obolibrary.org/obo/EUPATH_0015052,Washes hands before cooking,F4A_WASH_COOK | F7_WASH_COOK,When do you usually wash your hands? Before cooking?,0
http://purl.obolibrary.org/obo/EUPATH_0015057,Never washes hands,F4A_WASH_NEVER | F7_WASH_NEVER,When do you usually wash your hands? Never?,0
http://purl.obolibrary.org/obo/EUPATH_0015044,Dam or earth pan,F4A_WATER_DAM | F7_WATER_DAM,"During the last two weeks, has your household ever obtained drinking water from any of the following sources? Dam or earth pan?",0
http://purl.obolibrary.org/obo/EUPATH_0015043,Pond or lake,F4A_WATER_POND | F7_WATER_POND,"During the last two weeks, has your household ever obtained drinking water from any of the following sources? Pond or lake?",0
http://purl.obolibrary.org/obo/EUPATH_0015038,Protected spring,F4A_WATER_PROSPRING | F7_WATER_PROSPRING,"During the last two weeks, has your household ever obtained drinking water from any of the following sources? Protected spring?",0
http://purl.obolibrary.org/obo/EUPATH_0015041,Open public well,F4A_WATER_PUBWELL | F7_WATER_PUBWELL,"During the last two weeks, has your household ever obtained drinking water from any of the following sources? Open public well?",0
http://purl.obolibrary.org/obo/EUPATH_0015047,Shallow tube well,F4A_WATER_SHALLWELL | F7_WATER_SHALLWELL,"During the last two weeks, has your household ever obtained drinking water from any of the following sources? Shallow tube well?",0
http://purl.obolibrary.org/obo/EUPATH_0015040,Unprotected spring,F4A_WATER_UNSPRING | F7_WATER_UNSPRING,"During the last two weeks, has your household ever obtained drinking water from any of the following sources? Unprotected Spring? | During the last two weeks, has your household ever obtained drinking water from any of the following sources? Unprotected spring?",0
http://purl.obolibrary.org/obo/EUPATH_0015039,Open well in dwelling or yard,F4A_WATER_WELL | F7_WATER_WELL,"During the last two weeks, has your household ever obtained drinking water from any of the following sources? Open well in house or yard?",0
http://purl.obolibrary.org/obo/EUPATH_0015035,Piped into yard,F4A_WATER_YARD | F7_WATER_YARD,"During the last two weeks, has your household ever obtained drinking water from any of the following sources? Piped into yard?",0
http://purl.obolibrary.org/obo/EUPATH_0010232,Children under 60 months in dwelling,F4A_YNG_CHILDREN | F7_YNG_CHILDRN,How many children younger than 60 months live in the household?,Num
http://purl.obolibrary.org/obo/EUPATH_0010345,Admitted to hospital,F4B_ADMIT,Outcome when Leaving Hosp/Health Center: Was the child admitted to the hospital?,0
http://purl.obolibrary.org/obo/EUPATH_0015117,Bipedal edema,F4B_BIPEDAL | F7_BIPEDAL | F5_BIPEDAL,Physical findings: Bipedal edema [Both feet],0
http://purl.obolibrary.org/obo/EUPATH_0015115,Chest indrawing,F4B_CHEST_INDRW,Physical findings:  1f. Chest indrawing,0
http://purl.obolibrary.org/obo/EUPATH_0015412,Completely rehydrated 4hrs after starting rehydration,F4B_CHILD_COMP_REHYD,Outcome 4 hrs after starting rehydration: Was the child completely rehydrated?,
http://purl.obolibrary.org/obo/EUPATH_0010299,Evaluated after 4hrs,F4B_CHILD_EVAL,Outcome 4hrs after starting rehydration: Was the child evaluated after 4 hours?,0
http://purl.obolibrary.org/obo/EUPATH_0010300,Reason not evaluated after rehydration,F4B_CHILD_EVAL_SPEC,If not evaluated after 4 hours what was the reason?,Char
http://purl.obolibrary.org/obo/EUPATH_0010317,Required additional oral or IV rehydration,F4B_CHILD_IV,Outcome 4hrs After Rehyd: Does the child require additional oral/IV fluid for rehydration?,0
http://purl.obolibrary.org/obo/EUPATH_0010315,Total stool output measured during rehydration therapy,F4B_CHILD_OUTPUT,Outcome 4 hrs After Rehyd: Was the total stool output within the last 4 hours measured?,0
http://purl.obolibrary.org/obo/EUPATH_0010314,Continued to purge watery stool after starting rehydration,F4B_CHILD_PURGE,Outcome 4hrs After Rehyd: Did the child continue to purge large volumes of watery stool?,0
http://purl.obolibrary.org/obo/EUPATH_0010297,Required rehydration,F4B_CHILD_REHYD,Does the child require rehydration,0
http://purl.obolibrary.org/obo/EUPATH_0004991,Observation date,F4B_DATE | F5_DATE | F7_DATE | F4A_DATE,Enrollment Controls Visit Date | Visit Date for 60-Day Follow-Up (Cases & Controls) | Visit Date For Enrollment Questionaire for Cases | Enrollment (Non-Medical) Date,Date
http://purl.obolibrary.org/obo/EUPATH_0010291,Sunken eyes,F4B_EYES,Physical findings: Eyes,0
http://purl.obolibrary.org/obo/EUPATH_0015129,"BMI-for-age z-score below -5 or above 5, using median length or height",F4B_FIND_MED_BMIZ_F | F7_MED_BMIZ_F | F4B_REHYD_MED_BMIZ_F | F4B_Last_med_BMIZ_F | F4B_OUT_MED_BMIZ_F | F4B_MED_BMIZ_F | F5_MED_BMIZ_F,Last Flag for ZBMI<-5 or ZBMI >5 (median height) | Physical findings: Flag for _ZBMI<-5 or _ZBMI>5 (median ht) | Outcome when Leaving Hosp/Health Center: After Rehyd Flag Calculated BMI for Age Z-score (median ht) <-5 or BMI Z >5 | Outcome if addl Rehyd Need: After Rehyd Flag Calculated BMI for Age Z-score (median ht) <-5 or BMI Z >5 | Outcome 4hrs After Rehyd: Flag for _ZBMI<-5 or _ZBMI>5 (median ht),0
http://purl.obolibrary.org/obo/EUPATH_0010083,"Weight-for-length or -height z-score, using median length or height",F4B_FIND_MED_WHZ | F4B_REHYD_MED_WHZ | F5_MED_WHZ | F4B_MED_WHZ | F4B_Last_med_WHZ | F4B_OUT_MED_WHZ | F7_MED_WHZ,Outcome when Leaving Hosp/Health Center: After Rehyd Weight-for-length/height z-score (median ht) | Physical findings: Weight-for-length/height z-score (median ht) | Last weight-median length/height Z-Score | Outcome 4hrs After Rehyd: Weight-for-length/height z-score (median ht) | Outcome if addl Rehyd Need: After Rehyd Weight-for-length/height z-score (median ht),Num
http://purl.obolibrary.org/obo/EUPATH_0010292,Dry mouth,F4B_FIND_MOUTH | F4B_MOUTH,Outcome 4hrs After Rehyd: Mouth | Physical findings: Mouth,0
http://purl.obolibrary.org/obo/EUPATH_0010084,MUAC (cm),F4B_FIND_MUAC_1 | F4B_REHYD_MUAC_1 | F5_MUAC1 | F4B_MUAC1 | F4B_OUT_MUAC_1 | F7_MUAC1,Physical findings: 1c. MUAC 1st | Outcome if addl Rehyd Need. MUAC 1st | 4 hrs after. MUAC 1st | Outcome when Leaving. MUAC 1st,Num
http://purl.obolibrary.org/obo/EUPATH_0015126,MUAC-for-age z-score below -5 or above 5,F4B_FIND_MUAC_AGEZ_F | F4B_REHYD_MUAC_AGEZ_F | F5_MUAC_AGEZ_F | F4B_OUT_MUAC_AGEZ_F | F7_MUAC_AGEZ_F | F4B_MUAC_AGEZ_F | F4B_LAST_MUAC_AGEZ_F,Outcome when Leaving: Flag for _ZAC<-5 or _ZAC>5 | Outcome if addl Rehyd Need: Flag for _ZAC<-5 or _ZAC>5 | 4 hrs after: Flag for _ZAC<-5 or _ZAC>5 | Physical findings: Flag for _ZAC<-5 or _ZAC>5 | Last Flag MUAC for Age Z-Score,0
http://purl.obolibrary.org/obo/EUPATH_0010088,Median MUAC (cm),F4B_FIND_MUAC_MEDIAN | F4B_MUAC_MEDIAN | F7_MUAC_MEDIAN | F4B_OUT_MUAC_MEDIAN | F4B_LAST_MUAC_MEDIAN | F5_MUAC_MEDIAN | F4B_REHYD_MUAC_MEDIAN,Outcome if addl Rehyd Needr: Calculated median MUAC | Outcome when Leaving Calculated median MUAC | LAST median MUAC | Physical findings: Calculated median MUAC | 4hrs after: Calculated median MUAC,Num
http://purl.obolibrary.org/obo/EUPATH_0010070,Caregiver plus participant weight (kg),F4B_FIND_WT_CHILD | F4B_WT_CHILD | F4B_REHYD_WT_CHILD | F4B_OUT_WT_CHILD | F5_WT_CHILD | F7_WT_CHILD,Physical findings: Weight 0-23 months Caregiver + Child | Outcome if addl Rehyd Need: After Rehyd Weight of Caregiver + Child | Outcome 4hrs After Rehyd: Weight 4 hrs after caregiver + child | Outcome when Leaving Hosp/Health Center: Weight of Caregiver + Child,Num
http://purl.obolibrary.org/obo/EUPATH_0010079,Median height (cm),F4B_HEIGHT_MEDIAN | F7_HEIGHT_MEDIAN | F5_HEIGHT_MEDIAN,Physical findings: Calculated median height,Num
http://purl.obolibrary.org/obo/EUPATH_0010347,Hospitalized more than 60 days,F4B_HOSP,Outcome when Leaving Hosp/Health Center: Is the child still in hospital >60 days?,0
http://purl.obolibrary.org/obo/EUPATH_0010090,"MUAC-for-age z-score, using median MUAC",F4B_LAST_MED_MUAC_AGEZ | F4B_OUT_MED_MUAC_AGEZ | F4B_MED_MUAC_AGEZ | F7_MED_MUAC_AGEZ | F5_MED_MUAC_AGEZ | F4B_FIND_MED_MUAC_AGEZ | F4B_REHYD_MED_MUAC_AGEZ,Last median MUAC for Age Z-Score | Physical findings: Arm circumference-for-age z score (median ac) | Outcome if addl Rehyd Need: Median Arm circumference-for-age z score | Outcome when Leaving: Median Arm circumference-for-age z score | 4 hrs after: Median Arm circumference-for-age z score,Num
http://purl.obolibrary.org/obo/EUPATH_0015125,"Weight-for-length or -height z-score below -5 or above 5, using median length or height",F4B_Last_med_WHZ_F | F4B_FIND_MED_WHZ_F | F7_MED_WHZ_F | F5_MED_WHZ_F | F4B_OUT_MED_WHZ_F | F4B_REHYD_MED_WHZ_F | F4B_MED_WHZ_F,Outcome 4hrs After Rehyd: Flag for _ZWFL<-5 or _ZWFL>5 (median ht) | Physical findings: Flag for _WHZ<-5 or _WHZ>5 (median ht) | Last Flag for ZWFL<-5 or ZWFL >5 | Outcome when Leaving Hosp/Health Center: After Rehyd Flag WHZ z-score <-5 WHZ>5 (median ht) | Outcome if addl Rehyd Need: After Rehyd Flag WHZ z-score <-5 WHZ>5 (median ht),0
http://purl.obolibrary.org/obo/EUPATH_0010294,Mental status,F4B_MENTAL,Physical findings: Mental status,0
http://purl.obolibrary.org/obo/EUPATH_0010085,"MUAC (cm), 2nd",F4B_MUAC2 | F4B_REHYD_MUAC_2 | F4B_FIND_MUAC_2 | F5_MUAC2 | F7_MUAC2 | F4B_OUT_MUAC_2,Physical findings: 1c. MUAC 2nd | Outcome when Leaving. MUAC 2nd | Outcome if addl Rehyd Need. MUAC 2nd | 4 hrs after. MUAC 2nd,Num
http://purl.obolibrary.org/obo/EUPATH_0010296,Stool nature,F4B_NATURE_STOOL,"If yes, what was the nature of the stool?",0
http://purl.obolibrary.org/obo/EUPATH_0010295,Staff observed stool sample,F4B_OBSERVE_STOOL,Did either the iterviewer or the study staff observe a stool sample from this child?,0
http://purl.obolibrary.org/obo/EUPATH_0015128,BMI-for-age z-score below -5 or above 5,F4B_OUT_BMIZ_F | F4B_FIND_BMIZ_F | F4B_BMIZ_F | F5_BMIZ_F | F7_BMIZ_F | F4B_REHYD_BMIZ_F | F4B_Last_BMIZ_F,Physical findings: Flag for _ZBMI<-5 or _ZBMI>5 | Outcome when Leaving Hosp/Health Center:After Rehyd Flag Calculated BMI for Age Z-score <-5 or BMI Z >5 | Last Flag for Z_BMI <-5 or Z_BMI >5 | Outcome if addl Rehyd Need: After Rehyd Flag Calculated BMI for Age Z-score <-5 or BMI Z >5 | Outcome 4hrs After Rehyd: Flag for _ZBMI<-5 or _ZBMI>5,0
http://purl.obolibrary.org/obo/EUPATH_0010094,"BMI-for-age z-score, using median length or height",F4B_OUT_MED_BMIZ | F4B_Last_med_BMIZ | F4B_FIND_MED_BMIZ | F5_MED_BMIZ | F4B_MED_BMIZ | F4B_REHYD_MED_BMIZ | F7_MED_BMIZ,Physical findings: BMI-for-age z-score (median ht) | Outcome if addl Rehyd Need: After Rehyd Calculated BMI for Age Z-score (median ht) | Outcome when Leaving Hosp/Health Center: After Rehyd Calculated BMI for Age Z-score (median ht) | Last calculated BMI-for-age z-score (median height) | Outcome 4hrs After Rehyd: BMI-for-age z-score (median ht),Num
http://purl.obolibrary.org/obo/EUPATH_0010353,Outcome leaving hospital or health center,F4B_OUTCOME,Outcome when leaving hospital/health center,1
http://purl.obolibrary.org/obo/EUPATH_0015134,Other invasive bacterial infection,F4B_OUTCOME_BACT,Outcome when Leaving Hosp/Health Center: Other invasive bacterial infection,0
http://purl.obolibrary.org/obo/EUPATH_0010346,Hospitalization duraton (days),F4B_OUTCOME_DAYS,"Outcome when Leaving Hosp/Health Center: If admitted to the hospital, for how many days?",Num
http://purl.obolibrary.org/obo/EUPATH_0015130,Diarrhea,F4B_OUTCOME_DRH,Outcome when Leaving Hosp/Health Center: Diarrhrea,0
http://purl.obolibrary.org/obo/EUPATH_0015131,Dysentery,F4B_OUTCOME_DYS,Outcome when Leaving Hosp/Health Center: Dysentery,0
http://purl.obolibrary.org/obo/EUPATH_0015135,Malaria,F4B_OUTCOME_MALA,Outcome when Leaving Hosp/Health Center: Malaria,0
http://purl.obolibrary.org/obo/EUPATH_0015136,Malnutrition,F4B_OUTCOME_MLNT,Outcome when Leaving Hosp/Health Center: Malnutrition,0
http://purl.obolibrary.org/obo/EUPATH_0015133,Meningitis,F4B_OUTCOME_MNGTS,Outcome when Leaving Hosp/Health Center: Meningitis,0
http://purl.obolibrary.org/obo/EUPATH_0015138,Other diagnosis,F4B_OUTCOME_OTHR,Outcome when Leaving Hosp/Health Center: Other,0
http://purl.obolibrary.org/obo/EUPATH_0015132,Pneumonia or lower respiratory infection,F4B_OUTCOME_PNEU,Outcome when Leaving Hosp/Health Center: Pneumonia/lower respiratory infection,0
http://purl.obolibrary.org/obo/EUPATH_0015137,Typhoid,F4B_OUTCOME_TYPHOID,Outcome when Leaving Hosp/Health Center: Thyphoid,0
http://purl.obolibrary.org/obo/EUPATH_0010298,Received recommended rehydration,F4B_RECOMMEND,Will child receive recommended rehydration at this hopsital/health center?,0
http://purl.obolibrary.org/obo/EUPATH_0015116,Rectal prolapse,F4B_RECTAL | F5_RECTAL,Physical findings: Rectal prolapse,0
http://purl.obolibrary.org/obo/EUPATH_0010319,Rehydration date,F4B_REHYD_DATE,Outcome if addl Rehyd Need: Date of rehydration,Date
